CIF1,CIF2,Date,Duration
THMJTH73T54B844U,HDSJHN73B07F256I,2021-01-12,19:31:00
STJKNE55M03L673N,NCHCRG65B09C503O,2020-09-04,14:41:00
BRNLHE55R64C286K,STPGLD62R28B530H,2021-08-05,11:16:00
GMBDRK56D23E593M,MRNJYO89D14B440G,2020-07-12,06:26:00
SMMNNA60C46H245N,BDNMRY91S41H505I,2021-03-25,19:10:00
PTRMLS95L01G492T,DLLDBR88B63D227F,2021-04-24,12:38:00
BRWPLN97H69G189W,JHNSCI70R26A087R,2021-01-13,04:29:00
WLLGDN82T25G459Y,SMTNRW84T12I192Q,2021-11-04,07:32:00
MROJNF62B58D607A,SHLHRD51E19C941J,2020-11-21,23:18:00
DLLDBR88B63D227F,PLLNHL78D22G311I,2020-01-07,17:02:00
JNSCLD84P13A810G,BCKLNR75S63L258J,2020-04-25,13:19:00
DDYNCY55H68G331W,FRSHLN61R41B038O,2021-02-01,23:29:00
LLTLND50C14D853V,GBNMTH99A65E012A,2020-09-30,11:46:00
SHETMY52C08H406D,LFFMLE91L09D596Z,2021-05-23,15:55:00
LMRGRG63B15G580A,LIXJCK86C02L575K,2020-01-01,02:19:00
MTCKST02A69E784W,NDRSLY95E49A745P,2021-11-11,02:54:00
BNGKMI67E57M079C,KNSJNF91H43C691H,2020-11-13,15:27:00
WLLRLA58E52G222M,GZMDNN67E54L834Z,2021-08-24,08:14:00
HDSJHN73B07F256I,CBRRGG92B14A663J,2020-06-10,08:58:00
DWDROA52C53B097U,MYRLNL84M29G823I,2020-07-10,21:27:00
RCHNHN73S15A734P,MCLSLL63H59H822V,2020-08-22,07:17:00
BRDCRO63R66F162H,CRRJSO55T31A376Z,2020-10-08,23:47:00
SPNJRM96H21C062G,DNKRTI79E46E290E,2020-10-09,20:34:00
PLLNHL78D22G311I,SMTNRW84T12I192Q,2021-06-26,15:59:00
STORBE83T53B535L,GMBDRK56D23E593M,2020-03-26,05:12:00
