CIF,Date,Type
STPGLD62R28B530H,2021-07-03,Astrazeneca
STPGLD62R28B530H,2021-10-23,Johnson & Johnson
GRFHRT66B27D284O,2021-08-24,Johnson & Johnson
SLHSLV72P60D239O,2021-02-26,Pfizer
SLHSLV72P60D239O,2020-06-19,Johnson & Johnson
RCHNHN73S15A734P,2021-10-24,Johnson & Johnson
LLSVGN67T61D344L,2021-07-07,Astrazeneca
LLSVGN67T61D344L,2020-11-22,Pfizer
GNRJNN64B08D299Y,2020-04-21,Astrazeneca
VLLRRT69R11D041G,2020-12-19,Johnson & Johnson
NGYJDY52E48F320W,2021-08-09,Johnson & Johnson
NGYJDY52E48F320W,2020-10-30,Astrazeneca
SLDHLN85A49F422V,2020-01-13,Moderna
BRNLHE55R64C286K,2021-03-29,Johnson & Johnson
BRNLHE55R64C286K,2021-03-06,Moderna
BNGKMI67E57M079C,2020-09-15,Pfizer
BRBJFF97T18A202M,2020-01-26,Astrazeneca
BRBJFF97T18A202M,2021-06-22,Moderna
JPKLRY63B16C633M,2020-03-02,Pfizer
WHLDWN60T17H599M,2021-09-03,Pfizer
WHLDWN60T17H599M,2020-08-03,Astrazeneca
PNINAA54T66I796U,2021-10-13,Moderna
PNINAA54T66I796U,2021-10-07,Pfizer
STRBNC73A49G384I,2020-04-28,Pfizer
STRBNC73A49G384I,2021-05-27,Moderna
PTRMLS95L01G492T,2021-01-28,Pfizer
WLLLLN83R62A857R,2021-07-06,Moderna
WLLLLN83R62A857R,2021-03-29,Pfizer
WTSLRN59T47A506O,2021-08-26,Johnson & Johnson
SPNJRM96H21C062G,2021-11-03,Johnson & Johnson
SPNJRM96H21C062G,2021-06-12,Moderna
PNTJSS83R28A041V,2020-03-12,Astrazeneca
PNTJSS83R28A041V,2021-09-22,Pfizer
XMEBBR59A42B171A,2021-05-13,Johnson & Johnson
XMEBBR59A42B171A,2020-12-18,Pfizer
SWNMHL73B21F664V,2021-05-10,Pfizer
MRRCRN86R26M093P,2021-11-12,Moderna
MRRCRN86R26M093P,2020-08-24,Astrazeneca
BDNMRY91S41H505I,2021-08-08,Moderna
BDNMRY91S41H505I,2020-12-01,Johnson & Johnson
CDRTCY54R28A265E,2020-08-13,Moderna
CDRTCY54R28A265E,2021-10-10,Johnson & Johnson
KLFJMS99H26F422A,2021-03-10,Moderna
KLFJMS99H26F422A,2021-08-08,Johnson & Johnson
KRKPTR52T16L562R,2020-01-16,Moderna
KRKPTR52T16L562R,2021-02-06,Johnson & Johnson
WLLDNL90A04A898T,2021-03-01,Astrazeneca
WLLDNL90A04A898T,2020-02-22,Pfizer
RTCJDY92L65D057O,2020-02-10,Johnson & Johnson
GBNMTH99A65E012A,2021-01-29,Johnson & Johnson
GBNMTH99A65E012A,2020-08-31,Moderna
BRCJHN84D04C780Y,2020-03-15,Moderna
CBRRGG92B14A663J,2021-01-27,Johnson & Johnson
SHLLLL52M71L389G,2020-10-10,Astrazeneca
TCKJYC58A44B774S,2021-08-11,Pfizer
LEEJNA98H48E638A,2021-11-05,Pfizer
LEEJNA98H48E638A,2021-04-25,Astrazeneca
MKLCRS90H44L173G,2021-09-22,Johnson & Johnson
MKLCRS90H44L173G,2020-02-03,Astrazeneca
HRDSNY94C52M267B,2020-07-10,Pfizer
HRDSNY94C52M267B,2021-05-23,Moderna
PRVLRA61C44L724S,2021-03-20,Pfizer
PRVLRA61C44L724S,2020-12-05,Astrazeneca
VLNKHL81L44L146Q,2020-01-28,Astrazeneca
DVSBBR79S41M196G,2020-01-05,Moderna
DVSBBR79S41M196G,2021-06-28,Johnson & Johnson
FGRMHL82H18L237F,2020-11-26,Pfizer
MRNJYO89D14B440G,2020-02-02,Astrazeneca
