CIF1,CIF2
VLNKHL81L44L146Q,WSSJNF88S47L039A
VLNKHL81L44L146Q,VLLRRT69R11D041G
VLNKHL81L44L146Q,PRKPRC59M42F793E
WSSJNF88S47L039A,VLLRRT69R11D041G
WSSJNF88S47L039A,PRKPRC59M42F793E
VLLRRT69R11D041G,PRKPRC59M42F793E
BRCJHN84D04C780Y,WLLLLN83R62A857R
BRCJHN84D04C780Y,SLHSLV72P60D239O
WLLLLN83R62A857R,SLHSLV72P60D239O
JMSJHN61L30E689A,RTCJDY92L65D057O
JMSJHN61L30E689A,MCNDNY66H20C974L
JMSJHN61L30E689A,WLLRLA58E52G222M
RTCJDY92L65D057O,MCNDNY66H20C974L
RTCJDY92L65D057O,WLLRLA58E52G222M
MCNDNY66H20C974L,WLLRLA58E52G222M
DLLDBR88B63D227F,BRCMRY59A65H294I
DLLDBR88B63D227F,LLSVGN67T61D344L
BRCMRY59A65H294I,LLSVGN67T61D344L
PRVLRA61C44L724S,BRWSPH60M62E554M
PRVLRA61C44L724S,WLLGDN82T25G459Y
PRVLRA61C44L724S,TRYRRT89S21C194F
PRVLRA61C44L724S,DNGJML72P16B589Y
BRWSPH60M62E554M,WLLGDN82T25G459Y
BRWSPH60M62E554M,TRYRRT89S21C194F
BRWSPH60M62E554M,DNGJML72P16B589Y
WLLGDN82T25G459Y,TRYRRT89S21C194F
WLLGDN82T25G459Y,DNGJML72P16B589Y
TRYRRT89S21C194F,DNGJML72P16B589Y
MRRCRN86R26M093P,LCNMGN89P66L277C
MRRCRN86R26M093P,KHNLSI83T46C866B
MRRCRN86R26M093P,MRNJYO89D14B440G
MRRCRN86R26M093P,DDYNCY55H68G331W
LCNMGN89P66L277C,KHNLSI83T46C866B
LCNMGN89P66L277C,MRNJYO89D14B440G
LCNMGN89P66L277C,DDYNCY55H68G331W
KHNLSI83T46C866B,MRNJYO89D14B440G
KHNLSI83T46C866B,DDYNCY55H68G331W
MRNJYO89D14B440G,DDYNCY55H68G331W
LRNTMR73E61D321M,CVRFRD95L63B418T
LRNTMR73E61D321M,RSSJPH67E22I457E
LRNTMR73E61D321M,KTHMRA59R57C816R
LRNTMR73E61D321M,SMMNNA60C46H245N
