CIF,Covid_Vaccinated,Risky_Subject,Health_Status
GRFHRT66B27D284O,False,False,average
SLHSLV72P60D239O,False,False,good
RCHNHN73S15A734P,False,False,average
LLSVGN67T61D344L,False,False,good
GNRJNN64B08D299Y,False,False,average
SMNZND76S52A398Q,False,False,good
GRNDLD75L03D804W,False,False,average
RSDWTR78C28G156H,False,False,good
VLLRRT69R11D041G,False,False,average
LFFMLE91L09D596Z,False,False,bad
BRNLHE55R64C286K,False,False,good
BNGKMI67E57M079C,False,False,average
BRWPLN97H69G189W,False,False,good
BRBJFF97T18A202M,False,False,bad
JPKLRY63B16C633M,False,True,good
PNINAA54T66I796U,False,False,good
HWKSVN87L31F455R,False,False,average
PRKPRC59M42F793E,False,False,average
BDGTTH02S12H153U,False,False,average
STRBNC73A49G384I,False,True,good
PTRMLS95L01G492T,False,False,bad
WSSJNF88S47L039A,False,False,good
WTSLRN59T47A506O,False,False,good
SPNJRM96H21C062G,False,False,good
PNTJSS83R28A041V,False,False,bad
XMEBBR59A42B171A,False,False,good
SWNMHL73B21F664V,False,False,bad
TRYRRT89S21C194F,False,False,good
CLMBRN67E26H720B,False,False,good
BDNMRY91S41H505I,False,False,average
MYRWLM79B25A712W,False,False,good
KRKPTR52T16L562R,False,False,bad
SCRFNK98S10L840F,False,True,average
WLLDNL90A04A898T,False,False,good
RTCJDY92L65D057O,False,True,average
THRCRS72D63M021H,False,True,bad
STRLRY69C07E192Q,False,False,bad
HDSJHN73B07F256I,False,False,bad
BRCJHN84D04C780Y,False,False,bad
CBRRGG92B14A663J,False,True,bad
SHLLLL52M71L389G,False,False,good
TCKJYC58A44B774S,False,False,average
HRDSNY94C52M267B,False,False,good
PRVLRA61C44L724S,False,False,average
VLNKHL81L44L146Q,False,False,bad
DVSBBR79S41M196G,False,False,average
FGRMHL82H18L237F,False,False,good
DCSGRG75B01H258V,False,False,good
MRNJYO89D14B440G,False,False,average
MCLSLL63H59H822V,False,False,average
STJKNE55M03L673N,False,False,good
FLRCLS87M29I936O,False,False,bad
BRKPRC73A50B608C,False,False,bad
FLDLSU85S24H265W,False,False,average
YRYRLA94L13G204N,False,False,bad
PRCRTR79L29L270U,False,False,bad
MRTJSS58A07H134Q,False,False,average
MRODRH93M56M384G,False,False,good
BSTGLD89M31M371Q,False,True,average
LTTNNA72M57A625D,False,True,good
CPRJHN86P01B167P,False,False,good
DNKRTI79E46E290E,False,False,good
WRRDMA53D08A127Z,False,True,bad
YNGWLM78P15H590G,False,False,average
MWNLCS65P09L625X,False,False,average
TMPDNS94M57C901C,False,False,bad
DNGJML72P16B589Y,False,False,average
MCGSNY98M10A537X,False,False,good
HDSDRH98D58D061Q,False,False,average
NCHCRG65B09C503O,False,False,good
WDWJNN67T25L440J,False,False,average
MLLNDI78C68A122T,False,False,average
PLLNHL78D22G311I,False,False,good
BRDCRO63R66F162H,False,False,average
DDYNCY55H68G331W,False,False,average
MTCKST02A69E784W,False,False,good
CLYMHL68C61B424F,False,False,average
LCNBBR88P55F817E,False,False,good
GNZJMM62R30B198S,False,False,bad
FRSRTI90B64C539A,False,False,bad
JMSJHN61L30E689A,False,False,good
SFSSNT03B58I357V,False,False,good
NDRSLY95E49A745P,False,False,average
MNGMVN93E11E576Y,False,False,good
KNGRSL57M27L167F,False,False,bad
PHLJSN62A18E213Z,False,False,average
GZMDNN67E54L834Z,False,True,good
FRSHLN61R41B038O,False,False,average
SPNJHN87T10F976U,False,False,bad
MCNDNY66H20C974L,False,False,average
KTHMRL79C44E901I,False,False,good
RSNJSN91R25L734J,False,False,average
DVDKHL98S44G111E,False,True,good
GDYWDL63E17L500W,False,False,bad
HFNLNC51R06F846Z,False,False,bad
THMJTH73T54B844U,False,False,bad
PRCMHL59T49G802A,False,False,bad
BRCMRY59A65H294I,False,False,good
LMRGRG63B15G580A,False,False,good
LLTLND50C14D853V,False,False,good
GMBDRK56D23E593M,False,False,bad
SNCRHR70E02I612L,False,True,bad
CLPJHN02H25H639J,False,False,average
YNGNCY92A42L334B,False,False,average
LIXJCK86C02L575K,False,False,bad
STOTRY58M28A989V,False,False,average
LZRLYD51S54E847D,False,False,good
VGEZCK52A22H189U,False,False,bad
RMNMRY96C46H022U,False,False,average
BRWCFF88E12F737N,False,False,good
KNGJSS58L01H528F,False,False,average
KNSJNF91H43C691H,False,False,average
CRLCRY02E44E048J,False,False,good
DVLVGN61S45F494C,False,False,bad
LCKLPU63A14L248G,False,True,good
BLNLSI59L44I754K,False,False,good
KNLSNE96A14I319G,False,False,good
CHNMNG65R47H002C,False,False,average
HNSCLE92M26G447Q,False,False,good
JHNDBR55P46G123T,False,False,good
DWDROA52C53B097U,False,False,average
YNGMTN56H16E666B,False,False,bad
MRCRSO85P65A737K,False,False,average
GRCJHN97C02I745A,False,False,good
GRBMRN82D57D038L,False,False,good
CVRFRD95L63B418T,False,False,bad
KLLLRT86E22I414T,False,False,good
JHNSCI70R26A087R,False,False,average
PNNRHR81M05E356N,False,False,bad
WLLNNA58A42C369H,False,False,bad
WRSFDD70A04B506S,False,True,good
BRWSPH60M62E554M,False,False,average
NVRJPH90S21E904H,False,False,good
JCBRCC50A63M420U,False,False,bad
BGYLSO52A48G663K,False,False,good
FRNGRD51M07G146L,False,False,bad
YTCRNN69P17A263F,False,False,good
SLBPRC85H65A399P,False,False,average
BLNNDR76D29C072G,False,False,good
LPZRMR64L63G153S,False,False,average
WLLRLA58E52G222M,False,False,average
LRNTMR73E61D321M,False,False,average
STORBE83T53B535L,False,True,average
DTHFNC93H03F707B,False,False,average
VSLLTT58D59D974O,False,False,good
