CIF,First_Name,Last_Name,Positive,Birth,Birthplace,Phone_Number,Email,Last_Confirm,Sex
STPGLD62R28B530H,Geraldo,Stephenson,False,1962-10-28,Campodolcino,32513428789,geraldo.stephenson@icloud.com,,M
GRFHRT66B27D284O,Hobert,Griffin,False,1966-02-27,Desenzano del Garda,36199844512,hobert.griffin@hotmail.it,,M
SLHSLV72P60D239O,Silvia,Saleha,False,1972-09-20,Cuvio,39341974348,silvia.saleha@yahoo.it,,F
SHLTRS58D49F815D,Theresa,Shields,False,1958-04-09,Murlo,37254715826,theresa.shields@icloud.com,,F
RCHNHN73S15A734P,Anthony,Richardson,False,1973-11-15,Beinasco,36562552368,anthony.richardson@outlook.it,,M
LLSVGN67T61D344L,Virginia,Allison,False,1967-12-21,Donori,31477563915,virginia.allison@yahoo.it,2021-02-08,F
GNRJNN64B08D299Y,Johnny,Eigner,False,1964-02-08,Dicomano,34262224332,johnny.eigner@yahoo.it,2021-09-06,M
CKOJHN53S03F001C,John,Cook,False,1953-11-03,Marzi,39352511115,john.cook@icloud.com,2020-06-02,M
SMNZND76S52A398Q,Zenaida,Simon,False,1976-11-12,Ari,34525733596,zenaida.simon@yahoo.it,,F
GRNDLD75L03D804W,Donald,Greene,False,1975-07-03,Frisanco,36967591961,donald.greene@yahoo.it,,M
LYNMRC54A29D009G,Marc,Lyon,False,1954-01-29,Corleone,39567479738,marc.lyon@hotmail.it,2020-04-23,M
RSDWTR78C28G156H,Walter,Rosado,False,1978-03-28,Osilo,35742917851,walter.rosado@yahoo.it,2021-03-28,M
VLLRRT69R11D041G,Robert,Villegas,False,1969-10-11,Corrido,32686482755,robert.villegas@gmail.com,,M
NGYJDY52E48F320W,Judy,Nguyen,False,1952-05-08,Momperone,35655888249,judy.nguyen@gmail.com,,F
SLDHLN85A49F422V,Helen,Saldivar,False,1985-01-09,Montanaro,37581145748,helen.saldivar@outlook.it,2020-12-28,F
LNRLVN82B12G713N,Alvin,Lanier,False,1982-02-12,Pistoia,35958977939,alvin.lanier@gmail.com,2021-02-11,M
LFFMLE91L09D596Z,Emilio,Loffelbein,False,1991-07-09,Filogaso,37529958294,emilio.loffelbein@gmail.com,,M
BRNLHE55R64C286K,Leah,Bernal,False,1955-10-24,Castelvetrano,35491644745,leah.bernal@hotmail.it,,F
BNGKMI67E57M079C,Kim,Bing,False,1967-05-17,Vistarino,31421355375,kim.bing@gmail.com,,F
BRWPLN97H69G189W,Pauline,Brown,False,1997-06-29,Otricoli,35953686298,pauline.brown@gmail.com,,F
BRBJFF97T18A202M,Jeff,Barbosa,False,1997-12-18,Alimena,34246817621,jeff.barbosa@gmail.com,,M
JPKLRY63B16C633M,Larry,Jepko,False,1963-02-16,Chieuti,33429765667,larry.jepko@icloud.com,2021-01-01,M
WHLDWN60T17H599M,Edwin,Wheeler,False,1960-12-17,Rovegno,37137534924,edwin.wheeler@gmail.com,,M
MROJNF62B58D607A,Jennifer,Moore,False,1962-02-18,Fiorano Modenese,32292655661,jennifer.moore@icloud.com,2020-10-12,F
PNINAA54T66I796U,Ana,Pina,False,1954-12-26,Soldano,38166278519,ana.pina@yahoo.it,2021-05-15,F
HWKSVN87L31F455R,Steven,Hawkins,False,1987-07-31,Montecastello,35873146933,steven.hawkins@outlook.it,,M
PRKPRC59M42F793E,Patricia,Parker,False,1959-08-02,Muccia,35675157253,patricia.parker@outlook.it,,F
BDGTTH02S12H153U,Timothy,Budge,False,2002-11-12,Radda in Chianti,34921493779,timothy.budge@gmail.com,,M
STRBNC73A49G384I,Blanche,Strope,False,1973-01-09,Paulilatino,38123481232,blanche.strope@hotmail.it,,F
PTRMLS95L01G492T,Myles,Peterson,False,1995-07-01,Pescina,35225985738,myles.peterson@hotmail.it,,M
WSSJNF88S47L039A,Jennifer,Wessells,False,1988-11-07,Talmassons,38263541513,jennifer.wessells@icloud.com,,F
WLLLLN83R62A857R,Ellen,Williamson,False,1983-10-22,Blera,38728169888,ellen.williamson@hotmail.it,,F
WTSLRN59T47A506O,Lauren,Watson,False,1959-12-07,Avegno,39422816827,lauren.watson@outlook.it,,F
SPNJRM96H21C062G,Jerome,Spano,False,1996-06-21,Castelbello-Ciardes,38239919381,jerome.spano@hotmail.it,,M
PNTJSS83R28A041V,Jesus,Pontius,False,1983-10-28,Acquappesa,34215436715,jesus.pontius@hotmail.it,2021-05-20,M
XMEBBR59A42B171A,Barbara,Exum,False,1959-01-02,Bricherasio,33481629748,barbara.exum@gmail.com,,F
SWNMHL73B21F664V,Michael,Sweeny,False,1973-02-21,Monte Vidon Combatte,32323927291,michael.sweeny@gmail.com,,M
MRRCRN86R26M093P,Clarence,Murray,False,1986-10-26,Vitulano,36563843532,clarence.murray@gmail.com,,M
TRYRRT89S21C194F,Robert,Troy,False,1989-11-21,Castello Tesino,39988867824,robert.troy@yahoo.it,2021-07-07,M
KHNLSI83T46C866B,Lisa,Kuehnert,False,1983-12-06,Collepietro,31312228526,lisa.kuehnert@outlook.it,2021-04-22,F
CLMBRN67E26H720B,Brian,Clements,False,1967-05-26,Salsomaggiore Terme,39975452455,brian.clements@icloud.com,,M
BDNMRY91S41H505I,Mary,Bednorz,False,1991-11-01,Romagnese,34141965424,mary.bednorz@gmail.com,,F
CDRTCY54R28A265E,Tracy,Cuadrado,False,1954-10-28,Amorosi,38343931567,tracy.cuadrado@icloud.com,,M
KLFJMS99H26F422A,James,Kleffman,False,1999-06-26,Montanaro,39684874275,james.kleffman@yahoo.it,,M
MYRWLM79B25A712W,William,Myers,False,1979-02-25,Bastida Pancarana,39135983636,william.myers@outlook.it,,M
KRKPTR52T16L562R,Peter,Kirklin,False,1952-12-16,Val di Nizza,33876811537,peter.kirklin@outlook.it,,M
SCRFNK98S10L840F,Frank,Secrease,False,1998-11-10,Vicenza,33954987118,frank.secrease@hotmail.it,,M
WLLDNL90A04A898T,Daniel,Williams,False,1990-01-04,Bizzarone,31659334792,daniel.williams@hotmail.it,2021-09-29,M
RTCJDY92L65D057O,Judy,Ritchie,False,1992-07-25,Corte de' Frati,33145331327,judy.ritchie@icloud.com,,F
GBNMTH99A65E012A,Martha,Giebner,False,1999-01-25,Giano dell'Umbria,37214175643,martha.giebner@icloud.com,,F
RBRBRK59H52F562K,Brooke,Ribeiro,False,1959-06-12,Montemarzino,31839877829,brooke.ribeiro@outlook.it,,F
THRCRS72D63M021H,Christy,Thornton,False,1972-04-23,Villa Santa Lucia degli Abruzzi,39963458433,christy.thornton@yahoo.it,,F
STRLRY69C07E192Q,Larry,Streeter,False,1969-03-07,Grone,36872715188,larry.streeter@outlook.it,2020-01-21,M
HDSJHN73B07F256I,John,Hudson,False,1973-02-07,Moconesi,37992345856,john.hudson@gmail.com,,M
BRCJHN84D04C780Y,John,Brock,False,1984-04-04,Civitella d'Agliano,36589959449,john.brock@outlook.it,,M
CBRRGG92B14A663J,Reggie,Cabral,False,1992-02-14,Bari Sardo,38769323895,reggie.cabral@hotmail.it,,M
SHLLLL52M71L389G,Lucille,Shelton,False,1952-08-31,Trescore Cremasco,32493587984,lucille.shelton@outlook.it,,F
TCKJYC58A44B774S,Joyce,Tucker,False,1958-01-04,Cariati,34525112261,joyce.tucker@hotmail.it,,F
LEEJNA98H48E638A,Janie,Lee,False,1998-06-08,Locate Varesino,34645523579,janie.lee@yahoo.it,,F
MKLCRS90H44L173G,Cherish,Mikell,False,1990-06-04,Tione degli Abruzzi,33974856183,cherish.mikell@outlook.it,2020-01-14,F
HRDSNY94C52M267B,Sonya,Heard,False,1994-03-12,Zapponeta,39355799282,sonya.heard@icloud.com,2020-04-03,F
