CIF,Place,Room,Date,Duration
BRDGST53M53H997F,3168220,D.8.2,2021-04-25,18:52:00
HRNMGR87H61C566B,6542079,,2021-07-31,21:56:00
KLLJFR98D09H212B,8967778,E.7.6,2020-04-17,12:46:00
BNNLCA02H54L339V,8982241,D.7.4,2021-02-17,19:53:00
CLYDDE86L10D360Y,9612285,R.6.5,2021-11-13,20:31:00
NLLBRN98T02G194Z,8982241,D.7.4,2021-09-26,11:47:00
RCHLNA82L07E078B,8982241,P.0.5,2021-09-25,14:53:00
CLLDLD62C21B562B,3164450,,2021-08-03,03:58:00
STRVEA67L45H618Y,3174706,D.3.1,2020-03-01,14:17:00
GZMDLS69R13B630N,8260210,,2020-08-30,15:48:00
BNNLCA02H54L339V,6542295,,2021-04-14,05:25:00
HKRBRL71L63D634Q,9612285,R.6.5,2021-08-27,19:24:00
PRRDNS81L62H746R,6541078,,2020-03-28,04:20:00
SKNRCI51B01C190U,8969613,H.3.9,2021-01-04,14:46:00
MSSJMA50A14L444C,6540854,,2020-10-02,07:53:00
GRNKLY58R57A015A,10114711,A.8.6,2021-06-17,05:48:00
PTTVCK89R70E777F,3172542,,2021-06-24,21:37:00
WLLRRT54D11E611W,6542214,,2020-02-13,00:43:00
BRGJDN95A25B906K,8966253,C.4.7,2021-02-09,00:54:00
LTLCRY55L55B192M,3165736,,2020-02-04,07:38:00
WNSTRC72C60F842K,10114711,I.8.7,2021-06-02,20:37:00
SHWLSO64S06E410J,8967778,E.7.6,2020-02-28,12:25:00
BRCBNN79B67G296K,3177891,,2021-10-25,14:29:00
VNTMHL63C02E426F,3217778,Q.3.6,2021-08-28,09:28:00
LWNJSN63C04B006Z,8967778,N.7.4,2021-04-24,19:53:00
RCKJNT71P47E589S,6542295,,2020-11-15,10:49:00
GSSCRS58D17B481H,2522948,,2020-07-22,10:39:00
RGSTRS96P70C702D,10114711,A.8.6,2020-12-15,21:38:00
HBBCRK74P24H566K,6542295,,2021-02-04,23:12:00
SDACLS64B19G769B,8959183,W.7.7,2020-11-28,02:28:00
SDACLS64B19G769B,6537720,,2020-11-13,22:06:00
LRRMRY94B49G260L,8961730,M.1.9,2021-05-01,06:10:00
FLDMHL78L69B240I,3217778,Z.9.5,2021-11-11,21:19:00
MCDMHL66P52D499N,6540854,,2020-03-25,21:57:00
HNSLLL02T49F675U,3183224,D.3.3,2020-07-18,12:45:00
WLLLXA74L21M350V,9412867,F.7.1,2021-07-01,16:45:00
FNTLRN59S25A013A,8969613,H.3.9,2020-07-30,09:45:00
MRQCRS90D49I935L,3183224,D.3.3,2020-02-12,23:23:00
RCHLNA82L07E078B,10114711,I.8.7,2020-06-18,09:35:00
SDACLS64B19G769B,8982241,Y.1.7,2021-02-12,05:15:00
LNAJPH61C13A809C,8967523,J.2.5,2021-05-17,04:30:00
BDLLEE64T23E320J,8953415,V.5.8,2021-02-17,19:11:00
MNZGGR91C30A246R,3178947,T.9.8,2020-06-16,13:06:00
MDYGLA57R60B015C,10627265,,2021-07-18,15:15:00
DBLCRY01P68E780C,6542079,,2021-08-01,12:40:00
BLRKRN96C58I529U,3174706,D.3.1,2021-02-18,06:18:00
MSSKVN91P19A176U,11127622,,2020-09-18,02:22:00
HLTNRS97T12G196D,8967523,J.2.5,2020-07-23,12:07:00
STRLRY97D07F067H,10234509,O.3.8,2020-02-03,17:45:00
MRCGRG93A46D775O,9612285,R.6.5,2020-10-18,01:17:00
CHVGLP80E62E471C,3217778,Q.3.6,2020-07-08,00:30:00
SLFLRY61P05E941K,6538502,,2021-02-24,20:40:00
THMPLA67H18F531I,10114711,D.6.5,2021-03-09,00:32:00
YNGWLM51T14A976P,3169202,G.2.3,2020-03-23,10:13:00
YNOLRO57C58M163Z,10114711,A.8.6,2021-03-24,10:06:00
CLRLDS93B56E547M,9613262,J.8.7,2020-10-21,07:18:00
MRCRSO60A56D911O,8982854,,2021-03-11,01:37:00
RDRDBR57M47H486H,8978564,T.4.9,2020-03-28,20:38:00
MCKMHL70S23I139C,8966253,C.4.7,2020-09-07,04:21:00
CRRRCK60T09D006B,6542214,,2021-03-20,21:39:00
SVLSLD91R18E957D,8967778,N.7.4,2020-11-05,13:14:00
PGARCH72H27I520O,8953415,V.5.8,2020-07-11,22:03:00
LPLLSN71A47D670V,10376048,,2021-08-03,18:50:00
CFFSRL74L51A069O,11127880,,2021-03-21,10:27:00
MCGGCL88A41F509Y,8978564,T.4.9,2020-06-04,19:03:00
BDRMRK65H09B362O,8354453,,2020-09-17,19:57:00
MRRRDE74E24B239M,6540854,,2020-04-27,00:56:00
CKOMGN74H63H570P,3178947,X.9.0,2020-12-07,18:03:00
JHNMND92B49D050L,3165736,,2021-05-30,08:16:00
BNTRTH94A61C024H,10114711,D.6.5,2020-01-14,03:36:00
MRLTCY76R70I416D,11127880,,2021-03-29,03:56:00
HLEMMA50S69L018V,3178947,T.9.8,2020-06-02,06:10:00
NWTJNU90M65C388R,8982241,D.7.4,2021-03-21,09:38:00
BRRLRY83A17G747X,3165736,,2021-04-02,03:20:00
NLLBRN98T02G194Z,3164450,,2021-06-16,05:04:00
CRSSSN65S47D431P,8967523,N.6.7,2020-04-29,21:34:00
PYELRY82P08E879R,8967523,J.2.5,2020-03-31,18:40:00
BLSJMA76T63E229C,8504596,,2020-09-28,21:11:00
PLNTTH72T22H288X,6541464,,2021-08-21,09:05:00
DWNRRT56B07M082Z,3178947,X.9.0,2021-04-03,08:50:00
GLDFRN96T66A965F,10626188,,2020-04-22,20:50:00
DRWRRT76T15E337Q,10376048,,2020-04-28,13:03:00
TRDVCK71S46E336W,6541464,,2021-01-10,21:48:00
RSNMRR52H42H646J,8260210,,2021-09-10,02:26:00
HRRLEO96H07I483N,7303538,,2020-08-20,18:38:00
NPPKHL53S65I627J,9613262,J.8.7,2020-03-26,02:59:00
HYSTCY79H59M102F,11127622,,2020-08-11,12:24:00
BRWKRN70S41G312S,9032354,M.2.3,2021-01-07,20:34:00
DWRLGH86E68F627M,11857076,,2021-10-09,07:59:00
KRLDBR73L43C856P,3168220,D.8.2,2020-05-25,00:20:00
CRTRCE93B24C006L,8961730,H.4.6,2020-09-27,11:19:00
HRDNRW81S11L641R,6537720,,2021-03-22,11:57:00
CRSSSN65S47D431P,9612931,R.6.8,2021-02-06,13:24:00
BRBWLM85S01I243L,10114711,A.8.6,2020-01-22,20:45:00
CHNSRL95R53L841T,8199505,,2020-03-11,17:23:00
HSSRST93T50B171R,10114711,A.8.6,2021-07-28,08:49:00
LTSLSN83H44G848P,10626188,,2020-12-03,21:39:00
RYAJCK98B01I489C,3165736,,2020-11-08,02:23:00
SRTSNN76E02A134N,8952193,H.8.2,2021-03-13,06:49:00
MLLDRD84E30B629S,6299593,,2021-06-18,03:24:00
WGNRLO83D55H844N,3178947,X.9.0,2020-06-02,23:15:00
MGNKBR62D55D407M,8963948,L.5.4,2020-04-25,11:59:00
KNGNNA50B66E974I,3168220,D.8.2,2020-05-13,14:57:00
BRWRHR75C24G743G,10114711,I.8.7,2021-02-11,03:45:00
WLLTRC01A53E209H,6542295,,2021-01-14,00:37:00
GPPJLU53C47M358V,8967778,E.7.6,2021-09-10,03:25:00
DWYRMR95T24E961F,8504596,,2021-06-23,08:50:00
PHBJSO79D23C677Y,10234509,O.3.8,2020-10-21,14:56:00
MRKLRA68M65A489Y,3178947,T.9.8,2020-06-20,12:16:00
HSSRST93T50B171R,9612931,R.6.8,2021-01-13,23:28:00
PRKSLL59B63L964H,8967778,E.7.6,2021-10-22,18:13:00
BRSWRN54H04B415J,8504596,,2021-05-26,01:07:00
GRNWLM01E04C322W,8967778,E.7.6,2020-01-01,23:02:00
LYDJHN75D02D166C,9032354,M.2.3,2020-09-27,09:38:00
GRNBNN80P64H330L,11857076,,2021-06-14,12:01:00
KNGLSO87H52L881C,11127622,,2021-09-23,20:16:00
RXEJWL60M44L210Q,3174706,D.3.1,2021-03-01,18:25:00
THRMHL71D29D678F,9412867,F.7.1,2021-06-25,18:11:00
WLFLSE99M50A163K,8953415,V.5.8,2021-06-08,02:32:00
FWLPRL68L54C882S,8199505,,2021-10-29,10:01:00
YCMRHR65L14C769T,3169263,K.5.0,2020-01-31,02:33:00
GNDLDS88S49L647A,8982241,P.0.5,2020-03-10,22:47:00
MLMCRL83M22C698E,8959183,W.7.7,2020-09-19,22:34:00
CRPJDY92E67G614V,8966253,C.4.7,2020-09-06,21:04:00
MCCRRT86S03L038R,6299593,,2020-12-10,23:51:00
RDEJPH02D20B868T,11128077,,2020-11-07,14:48:00
GNZJHN67E23A954J,10234509,U.8.3,2021-07-31,04:55:00
NPPKHL53S65I627J,9412867,F.7.1,2021-05-05,04:13:00
SKNRCI51B01C190U,9612285,R.6.5,2020-06-17,05:38:00
DMSRMN55R01A949V,3165736,,2020-02-04,23:51:00
VRGTNY91R52I711P,11857076,,2020-09-18,14:21:00
RYNJFR71P15C529I,6540854,,2020-05-01,03:28:00
GTRLDI73T64I486B,11126481,,2021-08-14,11:17:00
BNKRTH81L43A714L,6542214,,2021-03-24,20:13:00
BYSRME62M41G151V,10234509,U.8.3,2021-10-30,22:30:00
SDRMVN87S06D044Y,3165736,,2021-04-03,20:38:00
MROKRN89C53L030I,8952732,O.6.8,2020-12-12,16:12:00
LPLLSN71A47D670V,3172542,,2020-07-14,20:25:00
LKRRHR58L14C430T,3169263,K.5.0,2020-05-14,06:53:00
STBVTI86H45H500Y,8963948,L.5.4,2021-01-03,06:13:00
STRJLU65R46E645Z,9613262,J.8.7,2020-09-06,19:32:00
LZADRS68C62L246D,3165736,,2021-03-02,17:58:00
LNZWLM72P21F648P,3169263,K.5.0,2020-06-13,02:00:00
BRGWYN97T19D817N,7303538,,2020-08-29,05:55:00
CRMJFF77C10E531O,3164450,,2020-07-03,09:50:00
DHLTMI68L23I023N,11153961,U.0.0,2020-03-06,16:46:00
HDGJHN83L20F351Q,10114711,D.8.4,2020-02-08,11:46:00
GRNBNN80P64H330L,8952732,O.6.8,2021-04-21,22:03:00
LTLCRY55L55B192M,8956432,I.8.8,2020-08-12,15:01:00
RVRBNC84E67M271J,8953415,V.5.8,2020-10-24,01:26:00
RGSTRS96P70C702D,6541078,,2021-07-04,01:54:00
CRTMCS76T07F987U,8959183,W.7.7,2020-12-09,10:29:00
WTTCDY85P69L353Q,3169263,K.5.0,2021-03-01,01:10:00
HCKLSI52P64I421A,10234509,U.8.3,2021-04-10,10:31:00
RHDMNQ84H52I869S,3164450,,2020-07-02,01:01:00
KNWRRT57T16B839T,9612931,P.4.1,2021-05-03,22:50:00
MLLDRD84E30B629S,11127383,,2020-09-12,23:40:00
HRRJTH96S66F550A,10234509,U.8.3,2021-10-04,21:29:00
WDAMHL78H16G487I,3165736,,2021-10-28,08:18:00
DSKRRT85D17H918M,8966253,C.4.7,2020-11-11,15:02:00
LFLRRT59E14H327B,2522948,,2020-05-07,13:05:00
BLLWLM73C16E715Z,9612285,R.6.5,2021-03-08,08:24:00
GDFMAI59R61G186N,3178947,T.9.8,2021-03-03,21:53:00
HRNJNN74S67L145Y,2525364,,2020-07-06,14:32:00
CLBCLT01S57H070P,9612931,R.6.8,2021-06-04,02:11:00
BNGWMX76P01C800J,3174706,D.3.1,2020-08-22,07:34:00
KNEJSH51R25E569D,10626188,,2021-10-17,00:53:00
HYMHLN79C69A786Z,11126481,,2020-03-11,08:47:00
CRSSSN65S47D431P,8982241,D.7.4,2021-08-09,09:44:00
SVGWTR95M25C743I,8952732,O.6.8,2021-07-25,18:28:00
HDGJHN83L20F351Q,9034008,L.8.7,2020-09-18,18:10:00
CLKWLM83H27H986J,10376048,,2021-04-23,01:35:00
QSNRYO70M18H026X,3165736,,2021-09-02,09:11:00
MRKLRA68M65A489Y,10114711,A.8.6,2021-10-16,07:54:00
DMSDTH02H67D708H,9612605,Z.9.4,2020-07-31,06:08:00
RSAJHN90C15I425I,3178423,,2020-02-09,16:23:00
GDLMTH92T42I191O,6697736,,2021-02-28,08:32:00
SHFJNF77H64D654Y,8982241,Y.1.7,2021-02-19,04:34:00
VRHNIA96P55L278K,11857076,,2021-02-26,10:40:00
CTHFRD73R17H635L,3183224,D.3.3,2021-01-17,05:31:00
NYBHLR02H69C659G,9612605,Z.9.4,2020-08-28,16:05:00
NMSRYA63R08C760A,8967523,J.2.5,2020-02-05,19:25:00
SMMMHL56R18G597S,3164450,,2021-08-09,00:55:00
TRVDGH52R08H272C,9612931,R.6.8,2021-01-24,11:53:00
HRRJTH96S66F550A,3175603,N.8.6,2021-07-30,09:00:00
CRVJPH94S06C353U,8969613,A.6.0,2020-01-13,14:47:00
VLSVTR77E06E713G,3207311,,2020-11-04,21:31:00
GSTWLM61S16G510U,9612285,R.6.5,2020-12-05,05:58:00
GRNJTN74H20F453Z,8966253,C.4.7,2020-12-25,11:11:00
NDRVVN53R50C820Z,11126481,,2020-08-03,05:14:00
CHRCRL67M55C309Z,3177891,,2020-06-14,05:44:00
LLNBRN75R25C251K,7289460,,2021-09-26,06:14:00
MLDMKI86R09E983W,11127383,,2021-01-21,20:25:00
LPKDRS78A53E531E,9612931,R.6.8,2021-06-20,17:48:00
GRCHRD95P10I817B,8961730,M.1.9,2021-05-01,04:54:00
WLTDRK83T02B493F,3165293,,2020-05-09,13:43:00
KRZCMR97C71D821N,3165293,,2020-07-05,20:33:00
DVSSNN73T52B633F,9612285,R.6.5,2021-05-09,23:40:00
FRNRLN54A49M019G,6542214,,2021-08-19,23:09:00
SRTSNN76E02A134N,8030019,,2020-01-31,21:12:00
HCKMGR91P51A799M,3178423,,2021-02-21,08:26:00
HLCPTR66E01G139J,6541078,,2020-02-20,14:13:00
KLMFLC83R44I176L,6541078,,2020-03-25,06:51:00
MCLJHN59H29C381M,3183224,D.3.3,2020-06-07,23:52:00
DGSKRY60H26H282L,3169202,G.2.3,2021-08-19,19:44:00
WBRRGR75L07C724X,2525364,,2020-08-14,22:27:00
WHTPLA86A11H912T,10114711,D.8.4,2020-03-10,15:18:00
NKLLBT85P47G211U,8963948,J.9.2,2020-05-26,08:36:00
HTCMGR55E70M258F,8504596,,2021-04-18,12:13:00
BNDSML95T08A593Z,8967778,E.7.6,2021-01-20,03:40:00
WRGMSS60P52B693A,10626188,,2020-03-02,21:07:00
MCNJMS63E14F309Z,8967778,E.7.6,2021-11-01,22:06:00
LLTMVN72D24E731V,7303538,,2021-04-01,15:55:00
SKNRCI51B01C190U,9613262,J.8.7,2021-09-20,17:46:00
HBBCRK74P24H566K,3217778,Q.3.6,2020-10-10,14:02:00
DWOGGN87M60B178W,3164450,,2021-09-18,19:16:00
GNZJHN67E23A954J,10401364,,2021-03-02,01:18:00
SCHGLR00L30E778K,9412867,F.7.1,2020-12-26,21:46:00
MROJMS84A24H592E,6933445,,2021-05-02,00:18:00
MRTHZL77P51H621Q,6542295,,2020-09-06,23:18:00
VNCCLE59B49B403Y,8961730,M.1.9,2021-01-20,18:22:00
GRNRRT78R06A301V,8504596,,2020-04-28,13:21:00
GRNJDY67H41F592L,6542079,,2020-12-15,05:06:00
RDRDBR57M47H486H,11126481,,2021-04-04,01:26:00
DLLDNS93C16L088R,9032354,M.2.3,2021-09-11,18:39:00
MRKLRA68M65A489Y,9612605,Z.9.4,2020-10-17,20:45:00
CLTCRS74T15G034W,8984890,,2020-07-17,17:27:00
GLLCRS56C26F118U,8963948,L.5.4,2021-02-13,10:50:00
MCQLNZ02P22I660V,6541464,,2021-09-24,20:30:00
VDNDVD71B19G031V,11127622,,2021-10-26,22:45:00
SHFJFF70L22D490F,6697736,,2021-03-10,16:42:00
PRRRNE96B46G982Z,2525364,,2020-04-07,01:21:00
MRNJQN90C29H712G,8959183,W.7.7,2020-06-12,03:19:00
MCMLLN70H58L315A,8961730,H.4.6,2021-08-08,09:12:00
GRCNRM93M53L215Y,8956432,I.8.8,2020-06-14,00:49:00
HNTHDR74L47C658G,8354453,,2020-06-17,13:46:00
DGLMYN72C46H800G,6541078,,2020-04-26,23:27:00
CNNJHN60H22F968L,3164450,,2020-12-27,15:19:00
NWTJNU90M65C388R,6933445,,2021-05-10,18:24:00
